source,target
p27,bantuan pemerintah
p28,perubahan harga
p28,perubahan pendapatan
p28,perubahan produksi
p28,perubahan pengeluaran
p28,tenaga kerja
p29,perubahan harga
p29,perubahan pendapatan
p29,perubahan pengeluaran
p29,tenaga kerja
p29,bantuan pemerintah
p30,perubahan harga
p30,perubahan produksi
p30,perubahan pendapatan
p30,bantuan pemerintah
p30,penjualan asset
p31,perubahan harga
p31,perubahan produksi
p31,perubahan pendapatan
p31,perubahan pengeluaran
p31,tenaga kerja
p31,bantuan pemerintah
p32,perubahan harga
p32,perubahan pendapatan
p32,perubahan pengeluaran
p32,bantuan pemerintah
p32,interaksi kelompok tani
pg14,perubahan pendapatan
pg14,perubahan harga
pg14,perubahan pengeluaran
pg14,penjualan asset
pg14,tenaga kerja
pg14,bantuan pemerintah
pg15,perubahan harga
pg15,perubahan pendapatan
pg15,perubahan produksi
pg15,perubahan pengeluaran
pg15,bantuan pemerintah
pg15,interaksi kelompok tani
KKGO,perubahan produksi
KKGO,perubahan harga
KKGO,perubahan pendapatan
KKGO,perubahan pengeluaran

